prompt_id,category,disability_type,task_type,prompt_text,notes
P001,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I want to go...'",Basic wants/needs
P002,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I feel...'",Emotional expression
P003,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'Can you help me with...'",Requesting assistance
P004,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am hungry and...'",Food/basic needs
P005,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'My name is...'",Self-introduction
P006,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am in pain and...'",Daily needs/pain
P007,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need to use the bathroom...'",Daily needs/personal care
P008,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am tired and...'",Daily needs/rest
P009,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am thirsty and...'",Daily needs/basic needs
P010,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am happy because...'",Social/emotional positive
P011,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am scared and...'",Social/emotional fear
P012,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I miss my...'",Social/emotional connection
P013,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I want to talk to...'",Social/emotional connection
P014,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'My doctor said...'",Healthcare/medical information
P015,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need my medicine...'",Healthcare/medication
P016,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I have an appointment and...'",Healthcare/access
P017,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'At school today I...'",School/work experience
P018,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need more time to...'",School/work self-advocacy
P019,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'My teacher said...'",School/work instruction
P020,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'Please stop...'",Self-advocacy/boundaries
P021,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I do not want...'",Self-advocacy/refusal
P022,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need help with...'",Self-advocacy/support
P023,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I want to go to the store and...'",Community/access
P024,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'On the weekend I...'",Community/leisure
P025,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need money for...'",Community/financial
P026,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'hungry... food... now'",Daily needs/food
P027,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'pain... leg... bad'",Daily needs/pain
P028,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'tired... sleep... please'",Daily needs/rest
P029,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'bathroom... help... now'",Daily needs/personal care
P030,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'miss... wife... home'",Social/emotional longing
P031,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'happy... family... visit'",Social/emotional positive
P032,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'scared... alone... night'",Social/emotional fear
P033,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'angry... not fair... no'",Social/emotional frustration
P034,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'doctor... medicine... confused'",Healthcare/medical information
P035,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'hospital... appointment... tomorrow'",Healthcare/access
P036,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'pain... chest... help'",Healthcare/emergency
P037,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'work... boss... problem'",School/work challenge
P038,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'school... teacher... help'",School/work support
P039,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'no... stop... please'",Self-advocacy/boundaries
P040,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'store... money... need'",Community/independence
P041,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Take one tablet orally twice daily with or without food. Do not exceed the recommended dosage. Consult your physician if symptoms persist or worsen.'",Healthcare/medication instructions
P042,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The patient presents with moderate hypertension. Lifestyle modifications including dietary sodium restriction and regular aerobic exercise are recommended prior to initiating pharmacological intervention.'",Healthcare/medical diagnosis
P043,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Prior to your surgical procedure you must refrain from consuming food or beverages for a minimum of eight hours. Inform your anesthesiologist of all current medications.'",Healthcare/pre-surgery
P044,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'If you are experiencing a mental health crisis please contact the national crisis helpline or present to the emergency department of your nearest hospital for immediate support.'",Healthcare/mental health
