prompt_id,category,disability_type,task_type,prompt_text,notes,gpt4_output,gpt4_error,claude_output,claude_error,groq_output,groq_error,timestamp
P001,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I want to go...'",Basic wants/needs,'I want to go to the park today because it's such nice weather.',,"Here are a few natural completions depending on context:

- **""I want to go to the bathroom.""**
- **""I want to go home now.""**
- **""I want to go outside for some fresh air.""**

Would you like me to suggest options for a specific situation (mealtime, social outing, medical appointment, etc.)?",,I want to go to the park with my friends and play on the swings. Can we leave soon so we can have plenty of time to have fun?,,2026-05-26T19:18:46.415364
P002,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I feel...'",Emotional expression,'I feel excited about the upcoming vacation and can't wait to explore new places.',,"Here are a few natural completions depending on the context:

- ""I feel tired today and need a break.""
- ""I feel happy to see you.""
- ""I feel like something is wrong.""
- ""I feel hungry right now.""

Would you like me to offer options for a specific situation or emotion?",,I feel happy and excited to be spending time with my friends today. It's always great to catch up and have some fun together.,,2026-05-26T19:18:54.788823
P003,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'Can you help me with...'",Requesting assistance,'my homework? I'm having a hard time understanding the math problems.',,"Here are a few natural completions depending on context:

- ""Can you help me with **finding what I need?**""
- ""Can you help me with **this, please?**""
- ""Can you help me with **getting something from the shelf?**""
- ""Can you help me with **my order?**""

**Most versatile option:** ""Can you help me with **something?**""

Would you like me to tailor this to a specific situation (shopping, at home, medical appointment, etc.)?",,"Can you help me with finding my schedule for the day, I need to know what time my appointment is.",,2026-05-26T19:19:03.944248
P004,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am hungry and...'",Food/basic needs,'would like to have some lunch now. Can we prepare a sandwich together?',,"Here are a few natural completions depending on the context:

**""I am hungry and would like something to eat, please.""**

or

**""I am hungry and could use a snack.""**

or

**""I am hungry and wondering what's for dinner.""**

Would you like me to offer options for a more specific situation (like at a restaurant, at home, or at school)?",,"'I am hungry and I would like to order a sandwich, can we go to the kitchen to make one?'",,2026-05-26T19:19:13.274833
P005,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'My name is...'",Self-introduction,"'My name is John Smith, nice to meet you.'",,"Here are a few natural completions depending on the context:

**For an introduction:**
""My name is [name], and it's nice to meet you.""

**For a more detailed introduction:**
""My name is [name], and I use this device to communicate.""

Would you like me to adjust the tone or add specific details?",,"My name is Emily, and I'm excited to meet you. I'll be using this device to help me communicate with you today.",,2026-05-26T19:19:20.981812
P006,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am in pain and...'",Daily needs/pain,need immediate medical attention. Can someone please call a doctor?,,"Here are a few possible completions depending on the context:

**Medical/urgent:**
- ""I am in pain and need help right now.""
- ""I am in pain and need my medication.""

**Descriptive:**
- ""I am in pain and it's in my [head/back/stomach].""
- ""I am in pain and it's getting worse.""

**Request:**
- ""I am in pain and would like to see a doctor.""

Would you like me to offer options for a specific situation?",,"I am in pain and I need some help finding a comfortable position, can you assist me with adjusting my pillow or getting a blanket?",,2026-05-26T19:19:29.376054
P007,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need to use the bathroom...'",Daily needs/personal care,'...so could you please guide me to the nearest one?',,"Here are a few natural completions depending on the context:

**Urgent/immediate:**
""I need to use the bathroom right now, please.""

**Asking for assistance:**
""I need to use the bathroom—can you help me get there?""

**Polite request:**
""I need to use the bathroom. Could we take a break?""

Would you like me to adjust the tone or add more specific details?",,"'I need to use the bathroom, could you please help me get there or provide a commode?' This way, I can take care of my needs as soon as possible.",,2026-05-26T19:19:37.099785
P008,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am tired and...'",Daily needs/rest,I need to rest for a while.,,"Here are a few possible completions depending on the context:

- ""I am tired and **would like to rest now.**""
- ""I am tired and **need a break, please.**""
- ""I am tired and **want to go home.**""
- ""I am tired and **don't feel like talking right now.**""

Would any of these work, or would you like a different option?",,"I am tired and need to take a rest, can we finish this activity later? I would like to sit down and have a break for a little while to recharge.",,2026-05-26T19:19:44.699574
P009,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am thirsty and...'",Daily needs/basic needs,"would like a glass of water, please.",,"Here are a few natural completions depending on the context:

**""I am thirsty and would like something to drink, please.""**

or

**""I am thirsty and need a glass of water.""**

Would you like me to offer a different option based on a specific situation?",,"'I am thirsty and I would like a glass of water, please.'",,2026-05-26T19:19:52.815591
P010,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am happy because...'",Social/emotional positive,'I am happy because I passed my exams with flying colors.',,"Here are a few natural completions depending on context:

- ""I am happy because **today is going well and I'm enjoying spending time with you.**""

- ""I am happy because **I get to do something I really like.**""

- ""I am happy because **the weather is nice today.**""

Would you like me to offer options that fit a specific situation, like being at home, school, work, or with friends?",,"I am happy because I got to spend time with my friends and family over the weekend. It was a really fun and relaxing break, and I'm feeling refreshed and energized now.",,2026-05-26T19:19:59.726250
P011,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I am scared and...'",Social/emotional fear,I need someone to stay with me right now. Can you please help me calm down?,,"Here are a few possible completions depending on the context:

**If seeking help:**
""I am scared and I need someone to stay with me right now.""

**If expressing feelings:**
""I am scared and I don't know what to do.""

**If explaining a situation:**
""I am scared and I need you to help me feel safe.""

Would any of these work, or would you like a different completion?",,"I am scared and I don't know what's going to happen, can you please stay with me and help me feel safe.",,2026-05-26T19:20:07.913435
P012,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I miss my...'",Social/emotional connection,'I miss my hometown and the familiar comfort it brings.',,"Here are a few possible completions depending on context:

- ""I miss my **family and wish I could see them soon.**""
- ""I miss my **home and the way things used to be.**""
- ""I miss my **friend. Can we talk about them?**""

Would any of these work, or would you like me to suggest something different?",,"I miss my family and friends, and I wish I could see them soon.",,2026-05-26T19:20:17.239441
P013,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I want to talk to...'",Social/emotional connection,'I want to talk to my doctor about my recent test results.',,"Here are a few natural completions depending on the context:

- ""I want to talk to **you about something important.**""
- ""I want to talk to **someone who can help me.**""
- ""I want to talk to **my doctor/nurse/family member.**""

Would you like me to offer options for a specific situation (medical, social, requesting help, etc.)?",,"""I want to talk to my mom about the plans for the weekend. Can you help me call her or send a message?""",,2026-05-26T19:20:25.313678
