evaluator_name,evaluator_expertise,prompt_idx,model_a_clarity,model_a_appropriateness,model_a_accuracy,model_a_consistency,model_a_empathy,model_b_clarity,model_b_appropriateness,model_b_accuracy,model_b_consistency,model_b_empathy,model_c_clarity,model_c_appropriateness,model_c_accuracy,model_c_consistency,model_c_empathy,notes
Rater_2,Other,0,3,3,5,3,3,1,4,4,2,2,1,4,4,1,3,"Model C gives a longer, more elaborate completion with two sentences. It may be slightly too assumptive about what the person wants and adds detail the user never specified."
Rater_2,Other,1,3,4,2,1,4,3,4,4,1,1,4,3,1,1,3,
Rater_2,Other,2,4,3,4,2,1,4,1,3,5,3,3,5,2,3,3,
Rater_2,Other,3,2,3,3,5,2,3,3,2,3,1,3,1,3,3,4,
Rater_2,Other,4,3,4,5,5,1,4,5,5,3,1,3,2,2,2,2,
Rater_2,Other,5,3,2,3,2,3,5,4,4,3,4,3,5,4,3,1,
Rater_2,Other,6,3,3,2,2,4,4,1,3,3,1,5,2,5,3,1,
Rater_2,Other,7,3,4,3,1,2,3,4,3,3,1,3,3,3,3,1,
Rater_2,Other,8,3,3,5,2,3,3,4,3,2,2,3,1,1,2,3,
Rater_2,Other,9,4,4,5,1,2,4,4,5,4,2,3,2,2,2,4,
Rater_2,Other,10,3,3,3,5,2,4,5,2,2,3,3,2,3,2,2,
Rater_2,Other,11,3,2,2,2,2,5,4,3,3,1,4,2,2,3,1,
Rater_2,Other,12,4,1,2,2,1,5,4,4,3,1,4,2,2,2,3,
Rater_2,Other,13,3,2,3,1,2,4,5,4,2,3,2,3,3,2,2,
Rater_2,Other,14,3,3,1,3,5,2,1,2,3,2,4,2,1,3,1,
Rater_2,Other,15,3,3,1,2,3,3,2,1,3,3,3,5,4,3,3,
Rater_2,Other,16,4,3,2,2,1,4,3,1,2,3,4,2,3,3,1,
Rater_2,Other,17,4,3,3,2,3,4,3,4,3,3,2,3,3,5,1,
Rater_2,Other,18,1,1,3,4,3,2,3,2,1,1,3,1,4,3,1,
Rater_2,Other,19,3,1,4,3,4,2,2,4,1,2,4,4,3,3,2,
Rater_2,Other,20,4,4,2,2,4,4,2,1,4,2,1,2,4,4,3,
